#Start of database
Project,Variant,Release,Version
CHERY,T1D,R4.0,RC02

List of precondition
Name,Message,Message ID,Start bit,Length(bit),Byte order,Factor,Offset,Minimum,Maximum,Unit,Signal type,Raw Value,Enable String,Transmitter,Receiver,Type,Value define,
CrDrLeOutrdy,Corridor_Le_Outer_B,0x104,28,12,Intel,0.00390625,-8,-8,7.99609375,Unit_Meter,Tx message:,23808,,Radar,MPC2,man,

List of other signals
Name,Message,Message ID,Start bit,Length(bit),Byte order,Factor,Offset,Minimum,Maximum,Unit,Signal type,Raw Value,Enable String,Transmitter,Receiver,Type,Value define,
RDR_Obj_04_dWidth,RDR_OncomingObj_Width,0x160,26,5,Intel,0.1,0,0,3.1,,Tx message:,,,Radar,MPC2,,
RDR_Obj_03_dWidth,RDR_OncomingObj_Width,0x160,21,5,Intel,0.1,0,0,3.1,,Tx message:,,,Radar,MPC2,,
RDR_Obj_02_dWidth,RDR_OncomingObj_Width,0x160,16,5,Intel,0.1,0,0,3.1,,Tx message:,,,Radar,MPC2,,
RDR_OncomingObj_MsgCnt,RDR_OncomingObj_Width,0x160,8,4,Intel,1,0,0,15,,Tx message:,,,Radar,MPC2,,
RDR_OncomingObj_BlockCnt,RDR_OncomingObj_Width,0x160,12,4,Intel,1,0,0,15,,Tx message:,,,Radar,MPC2,,
RDR_Oncoming_Obj_ChkSum,RDR_OncomingObj_Width,0x160,0,8,Intel,1,0,0,255,,Tx message:,,,Radar,MPC2,,
RDR_Obj_05_dWidth,RDR_OncomingObj_Width,0x160,31,5,Intel,0.1,0,0,3.1,,Tx message:,,,Radar,MPC2,,
RDR_Obj_05_vx_v,RDR_Obj_05,0x355,44,10,Intel,0.25,-128,-128,127.75,Unit_MeterPerSecon,Tx message:,,,Radar,MPC2,,
RDR_Obj_05_RFF,RDR_Obj_05,0x355,56,8,Intel,1,0,0,255,,Tx message:,,,Radar,MPC2,,0:not_fused
